Place of residence,2018–2019 Rate,2018–2019 95% CI,2019–2020 Rate,2019–2020 95% CI,2020–2021 Rate,2020–2021 95% CI,2021–2022 Rate,2021–2022 95% CI,2022–2023 Rate,2022–2023 95% CI,2023–2024 Rate,2023–2024 95% CI
Urban,1464,"1,454–1,474",1375,"1,365–1,384",1107,"1,099–1,116",1276,"1,267–1,286",1123,"1,114–1,132",990,982–998
Rural/remote,2051,"2,020–2,083",2015,"1,984–2,045",1636,"1,608–1,664",1818,"1,789–1,847",1722,"1,694–1,750",1581,"1,555–1,608"
