Place of residence,2018–2019 Rate,2018–2019 95% CI,2019–2020 Rate,2019–2020 95% CI,2020–2021 Rate,2020–2021 95% CI,2021–2022 Rate,2021–2022 95% CI,2022–2023 Rate,2022–2023 95% CI,2023–2024 Rate,2023–2024 95% CI
Urban,14702,"14,669–14,734",15056,"15,023–15,088",14807,"14,775–14,840",16706,"16,671–16,740",16416,"16,382–16,449",15868,"15,836–15,900"
Rural/remote,14505,"14,422–14,587",14947,"14,864–15,031",14739,"14,656–14,822",16209,"16,122–16,297",15801,"15,716–15,886",15604,"15,520–15,688"
