Place of residence,2018–2019 Rate,2018–2019 95% CI,2019–2020 Rate,2019–2020 95% CI,2020–2021 Rate,2020–2021 95% CI,2021–2022 Rate,2021–2022 95% CI,2022–2023 Rate,2022–2023 95% CI,2023–2024 Rate,2023–2024 95% CI
Urban,446,441–451,427,423–432,398,393–402,438,434–443,383,378–387,345,341–349
Rural/remote,567,554–579,561,548–574,494,482–506,533,521–546,480,468–492,444,433–455
